event_time,down_time,pressure,major_axis,minor_axis,size,user
175188560,175188512,0.71250004,188.52902,188.52902,0.140625,0
175188592,175188512,0.4375,188.52902,188.52902,0.125,0
175188592,175188512,0.4375,188.52902,188.52902,0.125,0
175188688,175188688,0.71250004,188.52902,188.52902,0.140625,0
175188720,175188688,0.7,188.52902,188.52902,0.140625,0
175188736,175188688,0.7,188.52902,188.52902,0.140625,0
175188752,175188688,0.5625,188.52902,188.52902,0.140625,0
175188768,175188688,0.5625,188.52902,188.52902,0.140625,0
3105909500,3105909500,0.49803925,9.992772,9.992772,0.099999994,1
3105909500,3105909500,0.49803925,8.993495,8.993495,0.089999996,1
3105909500,3105909500,0.49803925,8.993495,8.993495,0.089999996,1
3105910000,3105910000,0.49803925,12.990603,12.990603,0.13,1
3105910300,3105910000,0.49803925,10.992049,10.992049,0.11,1
3105910300,3105910000,0.49803925,10.992049,10.992049,0.11,1
3105910800,3105910800,0.49803925,11.991326,11.991326,0.12,1
3105910800,3105910800,0.49803925,9.992772,9.992772,0.099999994,1
3105910800,3105910800,0.49411768,7.9942174,7.9942174,0.08,1
3105910800,3105910800,0.49411768,7.9942174,7.9942174,0.08,1
3105911300,3105911300,0.49803925,9.992772,9.992772,0.099999994,1
3105911300,3105911300,0.49411768,7.9942174,7.9942174,0.08,1
3105911300,3105911300,0.4901961,6.9949403,6.9949403,0.07,1
3105911300,3105911300,0.4901961,6.9949403,6.9949403,0.07,1
3105911800,3105911800,0.49803925,6.9949403,6.9949403,0.07,1
3105911800,3105911800,0.49803925,9.992772,9.992772,0.099999994,1
3105911800,3105911800,0.49803925,9.992772,9.992772,0.099999994,1
3105911800,3105911800,0.4901961,7.9942174,7.9942174,0.08,1
3105911800,3105911800,0.4901961,7.9942174,7.9942174,0.08,1
3105912300,3105912300,0.49803925,5.995663,5.995663,0.06,1
3105912300,3105912300,0.49411768,5.995663,5.995663,0.06,1
3105912300,3105912300,0.49411768,5.995663,5.995663,0.06,1
3105912800,3105912800,0.49803925,10.992049,10.992049,0.11,1
3105912800,3105912800,0.49803925,8.993495,8.993495,0.089999996,1
3105912800,3105912800,0.4901961,7.9942174,7.9942174,0.08,1
3105912800,3105912800,0.4901961,7.9942174,7.9942174,0.08,1
3105913000,3105913000,0.49803925,7.9942174,7.9942174,0.08,1
3105913300,3105913000,0.4901961,6.9949403,6.9949403,0.07,1
3105913300,3105913000,0.4901961,6.9949403,6.9949403,0.07,1
3105913600,3105913600,0.48627454,4.996386,4.996386,0.049999997,1
3105913600,3105913600,0.49803925,5.995663,5.995663,0.06,1
3105913600,3105913600,0.49803925,6.9949403,6.9949403,0.07,1
3105913600,3105913600,0.48627454,4.996386,4.996386,0.049999997,1
