event_time,down_time,pressure,major_axis,minor_axis,size,user
5.13E+07,5.13E+07,0.825,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.83750004,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.90000004,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.90000004,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.90000004,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.90000004,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.90000004,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.625,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.625,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.575,188.52902,188.52902,0.125,0
5.13E+07,5.13E+07,0.6875,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.6875,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.6875,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.6875,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.55,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.55,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.6,188.52902,188.52902,0.125,0
5.13E+07,5.13E+07,0.625,188.52902,188.52902,0.125,0
5.13E+07,5.13E+07,0.6625,188.52902,188.52902,0.125,0
5.13E+07,5.13E+07,0.6875,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.71250004,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.7,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.7,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.6875,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.6,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.6,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.85,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.85,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.85,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.85,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.625,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.625,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.6125,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.7625,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.7625,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.575,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.575,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.8,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.8125,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.8125,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.8125,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.8125,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.65000004,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.65000004,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.6125,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.85,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.6,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.6,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.6625,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.85,272.70288,272.70288,0.171875,0
5.13E+07,5.13E+07,0.85,272.70288,272.70288,0.171875,0
5.13E+07,5.13E+07,0.85,272.70288,272.70288,0.171875,0
5.13E+07,5.13E+07,0.7375,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.7375,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.6,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.975,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.9375,272.70288,272.70288,0.171875,0
5.13E+07,5.13E+07,0.5,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.5,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,1,314.78983,314.78983,0.21875,0
5.13E+07,5.13E+07,0.95,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.95,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.925,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.6,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.6,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.8125,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.5625,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.5625,188.52902,188.52902,0.140625,0
5.13E+07,5.13E+07,0.9875,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,1,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,1,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,1.0500001,356.87677,356.87677,0.234375,0
5.13E+07,5.13E+07,1.0500001,356.87677,356.87677,0.234375,0
5.13E+07,5.13E+07,1.0125,314.78983,314.78983,0.21875,0
5.13E+07,5.13E+07,0.9375,272.70288,272.70288,0.1875,0
5.13E+07,5.13E+07,0.575,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.575,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.875,314.78983,314.78983,0.1875,0
5.13E+07,5.13E+07,0.9125,314.78983,314.78983,0.203125,0
5.13E+07,5.13E+07,0.96250004,314.78983,314.78983,0.203125,0
5.13E+07,5.13E+07,0.975,314.78983,314.78983,0.203125,0
5.13E+07,5.13E+07,0.975,314.78983,314.78983,0.203125,0
5.13E+07,5.13E+07,0.9125,314.78983,314.78983,0.203125,0
5.13E+07,5.13E+07,0.6125,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.6125,230.61597,230.61597,0.15625,0
5.13E+07,5.13E+07,0.8,272.70288,272.70288,0.171875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.171875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.171875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.171875,0
5.13E+07,5.13E+07,0.8625,272.70288,272.70288,0.171875,0
5.13E+07,5.13E+07,0.275,146.4421,146.4421,0.109375,0
5.13E+07,5.13E+07,0.275,146.4421,146.4421,0.109375,0
